accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date
FJ533907	""	""	Marsilea oligospora voucher FLAS:Meisenburg s.n. trnL-trnF intergenic spacer, partial sequence; plastid.	Marsilea oligospora	""	""	FLAS:Meisenburg s.n.	""	""	""	""
FJ533999	""	""	Marsilea oligospora ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid.	Marsilea oligospora	""	""	FLAS:Meisenburg s.n.	""	""	""	""
FJ534093	""	""	Marsilea oligospora voucher FLAS:Meisenburg s.n. ribosomal protein small subunit 4 (rps4) gene, partial cds; and rps4-trnS intergenic spacer, partial sequence; plastid.	Marsilea oligospora	""	""	FLAS:Meisenburg s.n.	""	""	""	""
FM204696	""	""	Pavetta abyssinica ITS1, 5.8S rRNA gene and ITS2, specimen voucher BR De Block 6 Meise 77-0360	Pavetta abyssinica	""	""	BR:De Block 6:Meise 77-0360	""	""	""	""
FM204726	""	""	Pavetta abyssinica chloroplast partial rps16 gene intron and exon 2, specimen voucher BR De Block 6 Meise 77-0360	Pavetta abyssinica	""	""	BR:De Block 6 Meise 77-0360	""	""	""	""
FM204772	""	""	Pavetta abyssinica chloroplast tRNA-Ser -GCU gene (partial), trnS-trnG IGS and tRNA-Gly -GCC gene (partial), specimen voucher BR De Block 6 Meise 77-0360	Pavetta abyssinica	""	""	BR:De Block 6 Meise 77-0360	""	""	""	""
FM207133	""	""	Pavetta abyssinica chloroplast trnT-trnL IGS, tRNA-Leu gene, trnL-trnF IGS and tRNA-Phe gene (partial), specimen voucher De Block 6 (BR), Meise 77-0360	Pavetta abyssinica	""	""	De Block 6 (BR), Meise 77-0360	""	""	""	""
GU973939	Belgium	""	Tabernaemontana glandulosa maturase K (matK) gene, partial cds; chloroplast.	Tabernaemontana glandulosa	""	""	Meise Bot. Gard., F. Billiet S3439 (BR)	""	""	""	""
GU973943	Belgium	""	Tabernaemontana inconspicua maturase K (matK) gene, partial cds; chloroplast.	Tabernaemontana inconspicua	""	""	Meise Bot. Gard. 19860306	""	""	""	""
GU973973	Belgium	""	Tabernanthe iboga maturase K (matK) gene, partial cds; chloroplast.	Tabernanthe iboga	""	""	Bot. Gard. Meise 1981307	""	""	""	""
GU973974	Belgium	""	Voacanga africana maturase K (matK) gene, partial cds; chloroplast.	Voacanga africana	""	""	Bot. Gard. Meise, F. Billiet S2276 (BR)	""	""	""	""
GU974023	Belgium	""	Tabernaemontana glandulosa ribosomal protein S16 (rps16) gene, intron; chloroplast.	Tabernaemontana glandulosa	""	""	Meise Bot. Gard., F. Billiet S3439 (BR)	""	""	""	""
GU974027	Belgium	""	Tabernaemontana inconspicua ribosomal protein S16 (rps16) gene, intron; chloroplast.	Tabernaemontana inconspicua	""	""	Meise Bot. Gard. 19860306	""	""	""	""
GU974057	Belgium	""	Tabernanthe iboga ribosomal protein S16 (rps16) gene, intron; chloroplast.	Tabernanthe iboga	""	""	Bot. Gard. Meise 1981307	""	""	""	""
GU974058	Belgium	""	Voacanga africana ribosomal protein S16 (rps16) gene, intron; chloroplast.	Voacanga africana	""	""	Bot. Gard. Meise, F. Billiet S2276 (BR)	""	""	""	""
GU974125	Belgium	""	Tabernaemontana glandulosa trnS-trnG intergenic spacer, partial sequence; chloroplast.	Tabernaemontana glandulosa	""	""	Meise Bot. Gard., F. Billiet S3439 (BR)	""	""	""	""
GU974129	Belgium	""	Tabernaemontana inconspicua trnS-trnG intergenic spacer, partial sequence; chloroplast.	Tabernaemontana inconspicua	""	""	Meise Bot. Gard. 19860306	""	""	""	""
GU974160	Belgium	""	Tabernanthe iboga trnS-trnG intergenic spacer, partial sequence; chloroplast.	Tabernanthe iboga	""	""	Bot. Gard. Meise 1981307	""	""	""	""
GU974163	Belgium	""	Voacanga africana trnS-trnG intergenic spacer, partial sequence; chloroplast.	Voacanga africana	""	""	Bot. Gard. Meise, F. Billiet S2276 (BR)	""	""	""	""
GU974213	Belgium	""	Tabernaemontana glandulosa ribosomal protein R16 (rpl16) gene, intron; chloroplast.	Tabernaemontana glandulosa	""	""	Meise Bot. Gard., F. Billiet S3439 (BR)	""	""	""	""
GU974217	Belgium	""	Tabernaemontana inconspicua ribosomal protein R16 (rpl16) gene, intron; chloroplast.	Tabernaemontana inconspicua	""	""	Meise Bot. Gard. 19860306	""	""	""	""
GU974247	Belgium	""	Tabernanthe iboga ribosomal protein R16 (rpl16) gene, intron; chloroplast.	Tabernanthe iboga	""	""	Bot. Gard. Meise 1981307	""	""	""	""
GU974248	Belgium	""	Voacanga africana ribosomal protein R16 (rpl16) gene, intron; chloroplast.	Voacanga africana	""	""	Bot. Gard. Meise, F. Billiet S2276 (BR)	""	""	""	""
GU974297	Belgium	""	Tabernaemontana glandulosa tRNA-Lys (trnK) gene, intron; chloroplast.	Tabernaemontana glandulosa	""	""	Meise Bot. Gard., F. Billiet S3439 (BR)	""	""	""	""
GU974301	Belgium	""	Tabernaemontana inconspicua tRNA-Lys (trnK) gene, intron; chloroplast.	Tabernaemontana inconspicua	""	""	Meise Bot. Gard. 19860306	""	""	""	""
GU974331	Belgium	""	Tabernanthe iboga tRNA-Lys (trnK) gene, intron; chloroplast.	Tabernanthe iboga	""	""	Bot. Gard. Meise 1981307	""	""	""	""
GU974332	Belgium	""	Voacanga africana tRNA-Lys (trnK) gene, intron; chloroplast.	Voacanga africana	""	""	Bot. Gard. Meise, F. Billiet S2276 (BR)	""	""	""	""
HM119536	""	""	Fernelia buxifolia isolate O012 maturase K gene, partial cds; chloroplast.	Fernelia buxifolia	""	""	Nat. Bot. Gard. Meise, acc. no.19940025-26; without voucher	""	""	""	""
HM119556	""	""	Pavetta abyssinica isolate K048 maturase K gene, partial cds; chloroplast.	Pavetta abyssinica	""	""	De Block 6 (BR)(Meise 77-0360)	""	""	""	""
HM164260	""	""	Fernelia buxifolia voucher Nat. Bot. Gard. Meise, acc. no. 19940025-26 tRNA-Ser (trnS) gene, partial sequence; trnS-trnG intergenic spacer, complete sequence; and tRNA-Gly (trnG) gene, partial sequence; chloroplast.	Fernelia buxifolia	""	""	Nat. Bot. Gard. Meise, acc. no.19940025-26; without voucher	""	""	""	""
HM164369	""	""	Fernelia buxifolia voucher Nat. Bot. Gard. Meise, acc. no. 19940025-26 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast.	Fernelia buxifolia	""	""	Nat. Bot. Gard. Meise, acc. no.19940025-26; without voucher	""	""	""	""
HQ631077	""	""	Marsilea oligospora voucher FLAS:Meisenburg s.n. ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit gene, partial cds; chloroplast.	Marsilea oligospora	""	""	FLAS:Meisenburg s.n.	""	""	""	""
JN040293	""	""	Celtis tala isolate Y13 ribosomal protein S16 (rps16) gene, intron; plastid.	Celtis tala	""	""	19371993 (Cultivated in Meise BotanicalGarden)	""	""	""	""
JN040331	""	""	Celtis tala isolate Y13 atpB-rbcL intergenic spacer, partial sequence; chloroplast.	Celtis tala	""	""	19371993 (Cultivated in Meise BotanicalGarden)	""	""	""	""
JN040367	""	""	Celtis tala isolate Y13 tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; chloroplast.	Celtis tala	""	""	19371993 (Cultivated in Meise BotanicalGarden)	""	""	""	""
JN040408	""	""	Celtis tala isolate Y13 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Celtis tala	""	""	19371993 (Cultivated in Meise BotanicalGarden)	""	""	""	""
KJ804556	""	""	Psychotria sp. b84 atpB-rbcL intergenic spacer, partial sequence; chloroplast.	Psychotria sp. b84	""	""	Cult. Bot. Gard. Meise	""	""	""	""
KJ804749	""	""	Psychotria sp. b84 external transcribed spacer, partial sequence.	Psychotria sp. b84	""	""	Cult. Bot. Gard. Meise	""	""	""	""
KJ804946	""	""	Psychotria sp. b84 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Psychotria sp. b84	""	""	Cult. Bot. Gard. Meise	""	""	""	""
KJ805146	""	""	Psychotria sp. b84 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast.	Psychotria sp. b84	""	""	Cult. Bot. Gard. Meise	""	""	""	""
KJ805342	""	""	Psychotria sp. b84 ribosomal protein S16 (rps16) gene, intron; chloroplast.	Psychotria sp. b84	""	""	Cult. Bot. Gard. Meise	""	""	""	""
KJ805542	""	""	Psychotria sp. b84 trnT-trnF intergenic spacer, partial sequence; chloroplast.	Psychotria sp. b84	""	""	Cult. Bot. Gard. Meise	""	""	""	""
KJ805743	""	""	Psychotria sp. b84 ribulose-1,5-bisphosphate carboxylase/oxygenase large unit (rbcL) gene, partial cds; chloroplast.	Psychotria sp. b84	""	""	Cult. Bot. Gard. Meise	""	""	""	""
KX397706	""	""	Asplenium erosum voucher Meisenburg s.n. (FLAS) ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Asplenium erosum	""	""	Meisenburg s.n. (FLAS)	""	""	""	""
KX889288	""	""	Heterotis prostrata small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.	Heterotis prostrata	""	""	cult. Botanic Garden Meise (BR),BR19851681	""	""	""	""
KY284714	""	""	Heterotis prostrata isolate HETEROTU5 acetyl-CoA carboxylase beta subunit (accD) gene, partial cds; accD-psaI intergenic spacer, complete sequence; and component of photosystem I (psaI) gene, partial cds; chloroplast.	Heterotis prostrata	""	""	cult. Botanic Garden Meise (BR),BR19851681	""	""	""	""
KY284813	""	""	Heterotis prostrata isolate HETEROTU5 psbK-psbL intergenic spacer region, partial sequence; chloroplast.	Heterotis prostrata	""	""	cult. Botanic Garden Meise (BR),BR19851681	""	""	""	""
KY378673	""	""	Pavetta abyssinica chloroplast, partial genome.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY492122	""	""	Pavetta abyssinica ribosomal protein subunit S10 (rps10) gene, exons 1 and 2 and partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY492180	""	""	Pavetta abyssinica NADH dehydrogenase subunit 4 (nad4) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637254	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) NADH dehydrogenase subunit 3 (nad3) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637312	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) ribosomal protein S12 (rps12) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637370	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) NADH dehydrogenase subunit 4L (nad4L) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637428	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) ATPase subunit 4 (atp4) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637486	""	""	Pavetta abyssinica ribosomal protein subunit S4 (rps4) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637544	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) maturase (matR) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637602	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) cytochrome c maturase subunit Fc (ccmFc) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637660	""	""	Pavetta abyssinica cytochrome oxidase subunit 2 (cox2) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637714	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) ribosomal protein S1 (rps1) gene, partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637772	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) NADH dehydrogenase subunit 1 (nad1) gene, exon 1 and partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637830	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) NADH dehydrogenase subunit 1 (nad1) gene, exons 2 and 3 and partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637888	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) NADH dehydrogenase subunit 1 (nad1) gene, exon 5 and partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY637946	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) cytochrome c oxidase subunit 1 (cox1) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638004	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) ribosomal protein S13 (rps13) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638062	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) NADH dehydrogenase subunit 7 (nad7) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638120	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) cytochrome c maturase subunit B (ccmB) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638178	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) ATP synthase F1 subunit 1 (atp1) gene, partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638236	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) cytochrome c oxidase subunit III (cox3) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638294	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) ATPase subunit 8 (atp8) gene, partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638352	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) NADH dehydrogenase subunit 9 (nad9) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638409	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) NADH dehydrogenase subunit 5 (nad5) gene, exons 1 and 2 and partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638467	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) NADH dehydrogenase subunit 5 (nad5) gene, exons 4 and 5 and partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638523	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) ATP synthase F0 subunit 9 (atp9) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638581	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) NADH dehydrogenase subunit 2 (nad2) gene, exons 1 and 2 and partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638639	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) NADH dehydrogenase subunit 2 (nad2) gene, exons 3 through 5 and partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638691	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) 18S ribosomal RNA (rrn18) and 5S ribosomal RNA (rrn5) genes, complete sequence; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638749	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) 26S ribosomal RNA (rrn26) gene, complete sequence; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638812	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) ATP synthase F0 subunit 6 (atp6) gene, partial cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638871	""	""	Pavetta abyssinica NADH dehydrogenase subunit 6-like (nad6) gene, complete sequence; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638929	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) cytochrome c maturase subunit Fn (ccmFn) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY638987	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) apocytochrome b (cob) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY639045	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) ccmC gene, complete sequence; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY639103	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) ribosomal protein subunit L5 (rpl5) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY639161	""	""	Pavetta abyssinica MttB-like (mttB) gene, complete sequence; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY639205	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) ribosomal protein S7 (rps7) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
KY639259	""	""	Pavetta abyssinica ribosomal protein S3 (rps3) gene, complete cds; mitochondrial.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
MF398014	""	""	Heterotis prostrata isolate HETEROTU5 external transcribed spacer, partial sequence.	Heterotis prostrata	""	""	cult. Botanic Garden Meise (BR),BR19851681	""	""	""	""
MF398112	""	""	Heterotis prostrata isolate HETEROTU5 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast.	Heterotis prostrata	""	""	cult. Botanic Garden Meise (BR),BR19851681	""	""	""	""
MG963265	""	""	Landolphia dawei chloroplast, partial genome.	Landolphia dawei	""	""	BR<BEL>:cult., Meise Botanical Garden,Acc. No. 1951-4750	""	""	""	""
MK607930	""	""	Pavetta abyssinica voucher De Block 6 (BR) (Meise 77-0360) external transcribed spacer, partial sequence; and small subunit ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and large subunit ribosomal RNA gene, complete sequence.	Pavetta abyssinica	""	""	De Block 6 (BR) (Meise 77-0360)	""	""	""	""
MK697526	Gabon	""	Tridactyle brevicalcarata isolate TBre1501 trnC-petN intergenic spacer, partial sequence; chloroplast.	Tridactyle brevicalcarata	""	""	BRLU:CultivatedatBotanicalGardenMeiseBR20090424-75	""	""	M. Simo-Droissart	2010-06-03
MK697535	Cameroon	""	Cyrtorchis chailluana isolate CyCh1503 trnC-petN intergenic spacer, partial sequence; chloroplast.	Cyrtorchis chailluana	""	""	BRLU:CultivatedatBotanicalGardenMeiseBR19750114	""	""	M. Simo-Droissart	2010-06-03
MK721986	Cameroon	""	Cyrtorchis chailluana isolate CyCh1503 ribosomal protein S16 (rps16) gene, intron; chloroplast.	Cyrtorchis chailluana	""	""	BRLU:CultivatedatBotanicalGardenMeiseBR19750114	""	""	M. Simo-Droissart	2010-06-03
MK721997	Gabon	""	Tridactyle brevicalcarata isolate TBre1501 ribosomal protein S16 (rps16) gene, intron; chloroplast.	Tridactyle brevicalcarata	""	""	BRLU:CultivatedatBotanicalGardenMeiseBR20090424-75	""	""	M. Simo-Droissart	2010-06-03
MK722018	Cameroon	""	Cyrtorchis chailluana isolate CyCh1503 YCF1 (ycf1) gene, partial cds; chloroplast.	Cyrtorchis chailluana	""	""	BRLU:CultivatedatBotanicalGardenMeiseBR19750114	""	""	M. Simo-Droissart	2010-06-03
MK722028	Gabon	""	Tridactyle brevicalcarata isolate TBre1501 YCF1 (ycf1) gene, partial cds; chloroplast.	Tridactyle brevicalcarata	""	""	BRLU:CultivatedatBotanicalGardenMeiseBR20090424-75	""	""	M. Simo-Droissart	2010-06-03
AF102391	""	""	Carissa bispinosa tRNA-Leu (trnL) gene, intron; chloroplast.	Carissa bispinosa	""	""	1953-3766, Billiet 3529 (BR), PotgieterDNA 494	""	""	""	""
AF102423	""	""	Faroa axillaris tRNA-Leu (trnL) gene, intron; chloroplast.	Faroa axillaris	""	""	M. Schaijes 5076 (BR)	""	""	""	""
AF102424	""	""	Faroa schaijesiorum tRNA-Leu (trnL) gene, intron; chloroplast.	Faroa schaijesiorum	""	""	M. Schaijes 3515 (BR)	""	""	""	""
AF102428	""	""	Gelsemium sempervirens tRNA-Leu (trnL) gene, intron; chloroplast.	Gelsemium sempervirens	""	""	unknown collector, herb. no. S560 (BR)	""	""	""	""
AF102453	""	""	Luculia gratissima x Luculia tsetensis tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Luculia gratissima x Luculia tsetensis	""	""	unknown collector, herb. no. S1640 (BR)	""	""	""	""
AF102465	""	""	Ornichia madagascariensis tRNA-Leu (trnL) gene, intron; chloroplast.	Ornichia madagascariensis	""	""	P.B. Philipson 3973 (BR)	""	""	""	""
AF102479	""	""	Schinziella tetragona tRNA-Leu (trnL) gene, intron; chloroplast.	Schinziella tetragona	""	""	Malaisse 13852 (BR)	""	""	""	""
AF129275	""	""	Saldinia sp. Rakoto 301 rps16 gene, partial sequence; chloroplast gene for chloroplast product.	Saldinia sp. Rakoto 301	""	""	Rakoto 301 (BR)	""	""	""	""
AF152649	""	""	Bikkia tetrandra trnL gene and trnL-F intergenic spacer, partial sequence; chloroplast gene for chloroplast product.	Bikkia tetrandra	""	""	bases 1-464, Fosberg 59775 (NY); bases523-861, van Royen 5492 (BR)	""	""	""	""
AF152671	""	""	Didymosalpinx norae trnL gene and trnL-F intergenic spacer, partial sequence; chloroplast gene for chloroplast product.	Didymosalpinx norae	""	""	herb. no. S1915 (BR)	""	""	""	""
AF159696	""	""	Gelsemium sempervirens trnL-trnF intergenic spacer sequence.	Gelsemium sempervirens	""	""	unknown collector; herb. no. S560 (BR)	""	""	""	""
AF183692	""	""	Alibertia concolor 5S ribosomal RNA non-transcribed spacer, complete sequence.	Cordiera concolor	""	""	Hatschbach 792 (BR)	""	""	""	""
AF183736	""	""	Alibertia concolor internal transcribed spacer 1, partial sequence.	Cordiera concolor	""	""	Hatschbach 792 (BR)	""	""	""	""
AF183737	""	""	Alibertia concolor internal transcribed spacer 2, complete sequence.	Cordiera concolor	""	""	Hatschbach 792 (BR)	""	""	""	""
AF200977	""	""	Aoranthe castaneofulva isolate a ribosomal protein S16 (rps16) gene, partial intron sequence; chloroplast gene for chloroplast product.	Aoranthe castaneofulva	""	""	Devred 3165 (BR)	""	""	""	""
AF200978	""	""	Aoranthe castaneofulva isolate b ribosomal protein S16 (rps16) gene, partial intron sequence; chloroplast gene for chloroplast product.	Aoranthe castaneofulva	""	""	Devred 3165 (BR)	""	""	""	""
AF200988	""	""	Catunaregam spinosa ribosomal protein S16 (rps16) gene, partial intron sequence; chloroplast gene for chloroplast product.	Catunaregam spinosa	""	""	64-125 (BR)	""	""	""	""
AF200990	""	""	Cremaspora triflora ribosomal protein S16 (rps16) gene, partial intron sequence; chloroplast gene for chloroplast product.	Cremaspora triflora	""	""	De Block 111 (BR)	""	""	""	""
AF200992	""	""	Didymosalpinx norae ribosomal protein S16 (rps16) gene, partial intron sequence; chloroplast gene for chloroplast product.	Didymosalpinx norae	""	""	S1915 (BR)	""	""	""	""
